4, 4, 4, 3, 3 ; 12
4, 4, 4, 3, 3 ; 11
4, 8, 15, 16, 23, 42 ; 108
13 ; 13
1, 2, 3, 4 ; 250
100 ; 500
11, 13, 15, 17, 19 ; 8
45 ; 12
16, 17, 11, 8, 17, 8, 9, 3, 18, 10, 0, 13, 18, 3, 9, 8, 3, 15, 14, 15, 20, 5, 5, 2, 0, 20, 4, 7, 7 ; 10
18, 7, 12, 13, 7, 13, 4, 1, 4, 19, 10, 6, 18, 1, 5, 14, 12, 18, 13, 16, 0, 17, 5, 11, 16, 3, 12, 8, 19, 1, 8, 14, 14, 7, 14, 6, 2, 0, 18, 9, 19, 16, 20, 19, 7, 10, 2 ; 73
8, 0, 7, 12, 7, 3, 18, 12, 20, 18, 18, 8, 18, 14, 19, 4, 8, 15, 13, 11, 3, 2, 15, 15, 9, 6, 18, 6, 13, 11, 2, 18 ; 29
17, 20, 19, 18, 6, 10, 19, 3, 17, 7, 3, 13, 13, 0, 5, 8, 15, 3, 7, 13, 1, 10, 0, 11, 1, 3, 14, 4 ; 70
15, 6, 3, 18, 5, 11, 5, 8, 20, 12, 12, 2, 13, 14, 10, 16, 15, 18, 0, 4, 6, 18, 10, 2, 8, 9, 15, 1 ; 56
6, 14, 10, 2, 1, 1, 14, 7, 4, 11, 14, 9, 1, 2, 20, 9, 20, 6, 19, 15, 11, 15, 12, 0, 1, 2, 0, 6, 4, 19, 6, 8, 5, 12 ; 36
8, 15, 10, 1, 18, 18, 9, 11, 11 ; 37
20, 16, 9, 0, 3, 7, 9, 7, 15, 8, 0, 1, 2, 9, 10, 3, 11, 6, 12, 11, 1, 12, 15, 0, 16, 19 ; 63
17, 0, 12, 15, 13, 16, 9, 1, 10, 6, 13, 5, 7, 20, 8, 20, 14, 10, 10 ; 29
10, 12, 3, 9, 12, 7, 16, 7, 12 ; 3
14, 17, 12, 11, 10, 3, 7, 2, 20, 1, 13, 7, 20, 0, 3, 4, 6, 5, 14, 14, 4, 4, 9, 5, 11, 10, 6, 9, 0, 2, 11, 13 ; 11
8, 15, 10, 12, 13, 0, 9, 4, 17, 4, 16, 4, 2, 11, 18, 18, 0, 9, 6, 13, 1, 10, 18, 6, 7, 15, 17, 19, 2 ; 34
12, 9, 10, 4, 10, 5, 9, 14, 2, 9, 19, 5, 11, 2, 18, 15, 15, 8, 4, 3, 17, 17, 12, 20, 5, 2, 20, 17, 5, 0, 19, 13, 6, 13, 4, 17, 13, 19, 10, 6, 3, 8 ; 15
1, 4, 2, 10, 17, 5 ; 28
7, 1, 14, 18, 4, 1, 14 ; 9
6, 17, 2, 9, 12, 16, 1 ; 28
3, 2, 18, 19, 9, 15, 9, 1, 15, 6, 6, 9 ; 51
10, 9, 5, 18, 19, 9, 3, 20, 5, 0, 10, 15, 7, 2, 9, 0, 12, 3, 19, 13, 1, 11, 13, 17 ; 65
2, 20, 17, 5, 17, 10, 11, 14, 5, 11, 1, 10, 20, 5, 18, 13, 0, 5, 15, 9, 17, 6, 19, 11, 11, 19, 20, 3, 10, 5, 18, 14, 0, 3, 0, 6, 13, 20, 10, 14, 17, 2 ; 97
7, 16, 2, 5, 14, 14, 13, 13, 8, 4, 19, 18, 14, 5, 4, 11 ; 76
2, 3, 7 ; 11
19, 19, 13, 17, 2, 16, 20, 5, 1, 5, 14, 4, 12, 14, 5, 0, 14, 13, 0, 0, 3, 19, 18, 18, 4, 17, 4, 15, 7 ; 35
17, 18, 17, 8 ; 94
